text,labels,source
"Удивляюсь я . Но вот гляди - ка , понравилось .",[0 2],lj
Наверное злой буду((((,[1],twitter
"После победы сборной России над Испанией в 1/8 финала, когда решающее спасение в серии пенальти голкипер Игорь Акинфеев совершил как раз ногой, регулятор пошутил, что спрогнозировал исход поединка.",[0],lenta
"Еду домой весь грязный, меня чудный ребенок всего испачкал :D",[0],twitter
"Это было удивительно - при всем многообразии рейсов "" Сапсана "" из Санкт-Петербурга в Москву мы оказались в одном и том же поезде , в одном вагоне и места были рядом .",[2],lj
Как можно было совсем остаться без прыжков?» — недоумевал Ягудин.,[2],lenta
"Но мне ужасно грустно , и плохо (",[1],twitter
"Когда Бердсли внезапно почувствовала, что с ее лицом происходит что-то странное, она вызвала скорую помощь, опасаясь инсульта.",[3],lenta
"Его отец – мой железный дед , который строил всех в радиусе досягаемости его взгляда ,– был просто раздавлен горем .",[1],lj
"Я устала рисовать , это я боялась больше всего :(",[1],twitter
Какой то я злой стал в последнее время и все меня раздражает(,[4],twitter
"Ему смешно, а у меня живот болит :(",[1],twitter
"а я уже обрадовалась, что зима будет теплой (",[1],twitter
"Позвали на хату, не знаю как добраться  Жизнь боль",[1],twitter
"я питаюсь эмоциями, которые получаю, самоутверждаясь за чужой счёт  всегда говорила, что я коварна и ещё хуже, чем вы обо мне думаете :)",[0],twitter
"солидарен :(   Удивляюсь, как люди решаются обувь покупать через интернет...",[2],twitter
А правоохранительные и контролирующие органы к новым российским помещикам относятся с удивительной даже по российским меркам лояльностью .,[2],lj
Поболтали с Олиной мамой ; я давно её не видела и была приятно удивлена энергией и энтузиазмом этой женщины – бывшего директора школы .,[0 2],lj
"в каком то странном состоянии я писала этот твитт похоже,так как утром с трудом осилила его-)",[2],twitter
"Если еще вчера я опасалась , но шла учиться водить , потому что надо , то теперь я постоянно мучаю Дениса вопросом , а когда мы поедем водить .",[0 3],lj
"Даже странно, потому что общее движение было очень медленным», — говорит другой.",[2],lenta
"План лечения был очень масштабный и я боялась , что что-то пойдёт не так .",[3],lj
мне так тошно ( хочется чего-то о чем боюсь сказать вслух ( а может просто некому (,[1],twitter
Почему она такая злая?!,[2],twitter
"Этот страх не давал мне нормально ехать в полосе , я все время чуть-чуть подруливала .",[3],lj
парень постоянный покупатель работает  с чаем притащил мне сто грамм ли джи хунь ча за 110 рублей всего о.о вот Бонни обрадуется),[0],twitter
"И тут Владка такая , долго мучилась , сопела , зубами открывала сосиску - нас не подпускала - открыла , довольная принесла к костру , палку с земли подняла , насадила , села рядом и изрекла :"" мы вместе жарим "" .",[0],lj
"Ударилась сильно рукой, я боюсь в троллейбусах ездить(",[1 3],twitter
На ролике животное поначалу с удовольствием принимает угощение с рук женщины.,[0],lenta
"?Мне его жалко аж сталоо,ему наверное ужасно боольноо((",[1],twitter
Моя маленькая  по мне соскучилась :3 Пойдём погуляем ),[0],twitter
Но вот большие перерывы сделали свое дело и страх вернулся с новой силой .,[3],lj
а так сегодня весело было.,[0],twitter
Все счастливы и довольны .,[0],lj
дети еще больше станут надоедать фруктов(((,[1],twitter
Время -удивительная штука.Его так мало когда опаздываешь и так много когда ждешь...((((((,[1],twitter
"Ламы , олени , пони ... Грустное зрелище - львы , тигр и волк .",[1],lj
"как гуляет мой кот: выбежал на улицу, увидел снег, успугался, с ужасом забежал обратно домой :D:D",[0],twitter
"Удивительно , но уже не раз замечал , что бывает достаточно отойти на 100 метров от туристической тропы , и ты остаешься один на один с чем-то пусть не великим и знаменитым , но все равно очень интересным .",[2],lj
на столько радостный и эмоционален что пою под брингов)),[0],twitter
"Обращайтесь , буду рада .",[0],lj
Мне не хватило всего одного балла до 5 по зачётной работе по химии...Печаль...(,[1],twitter
"Не месть ли это за ""Ревизорро""?",[2],lenta
Не скучай),[0],twitter
Внутри она выглядит просто сногсшибательно .,[0],lj
"И это помимо всей этой рутины с готовкой , уборкой , походами в магазин и т . д .",[1],lj
"Дорогой Ганнибал , оттормозить проезжающую тачку , угрожать водителю и ранить его , ты это серьезно ?",[2],lj
"Оно сегодня - и фактор сдерживания , и фактор страха необратимости , если не сдержимся .",[3],lj
"Удивительно, но он сам себе это обеспечил.",[2],lenta
"блин,ссори,я просто от радости всё позабывала с:_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x000D_
я сейчас как дурачок по квартире бегаю и одеваюсь:D",[0],twitter
Страх !!!,[3],lj
"оу, удачи с: Сори, я не забыл прочесть твой фф, сможешь ссылку дать?",[0],twitter
"Лапкин,это было утро трэша.Обещали перекрыть с 8-ми, на деле же-намного раньше.Ужас просто.Так долго я еще до работы не добиралась(",[1],twitter
"Ещё удивителен и интересен немецкий подход : карточку не просто блокируют до твоего звонка в банк , а сразу изымают : на всякий случай .",[2],lj
"В общем , я рада , что оно позади .",[0],lj
"Не знаю почему , но вот такой простой трюк в момент отключил в мозгах страх .",[2],lj
"ох как же хорошо что вы все есть :3 кстати давай там провожаю тетю Ирму и топай в школу :D сейчас поколдую ""шепатадаааа""",[0],twitter
Счастье у каждого свое),[0],twitter
"К сожалению, этот вклад Бориса Джонсона в развитие британско-российских отношений можно ценить как весьма и весьма скромный, если не сказать большего», — указал Песков.",[1],lenta
"Пусть холодный , грязный , странный , безумный , но у меня просто сносит голову от него .",[0],lj
«Мое отсутствие на Олимпиаде — это нечто странное.,[2],lenta
Но кое-что удивило .,[2],lj
"Каково же было мое удивление , когда вместо чудовищного « зеленого » интерфейса последних д - линков меня встретила такая красота : Организация довольно удобная , все это шустро бегает , радуя глаз анимацией .",[0 2],lj
"И вот так всегда, если меня разозлишь, могу со злости ляпнуть глупость!",[4],twitter
"Блин... желаю удачи и надеюсь, что хотя бы чуть-чуть, но все обойдется :(",[1],twitter
"Либо у меня руки короткие , либо я слишком далеко встала =) Основное , что меня пугало , это отсутствие понимания габаритов машины .",[3],lj
"Котик сильно удивился ректальной пальпации , примерно так : О _ О , но проблема была не там .",[2],lj
"Люблю деревья я, но странною любовью..))",[0],twitter
"это какой-то злой рок - каждый раз я обещаю себе , что больше никогда - никогда не буду никого менять , но каждый раз происходит какая-то жопа , как только хоть немного расслабишься !",[1],lj
"Я давно жаловалась в семье , что мне стало сложно любить , что рутина и проблемы меня делают бесчувственной , что я даже на улице перестала "" влюбляться "" .",[1],lj
От стихии пострадали не менее 135 тысяч человек.,[1],lenta
"Я вообще удивляюсь, как этот факел ещё не потух НАВСЕГДА!",[2],twitter
"Обожаю смайл "":-) "" он додает твиту как бы боль, тлен, ненависть",[0],twitter
Тихонько зверею и вмещаюсь всеми своими ста килограммами между ней и непрошенным лектором .,[4],lj
почему люди такие жестокие и не могут меня ретвитнуть ...(,[1],twitter
"А иногда плачу ... впрочем , плачут все , даже герои .",[1],lj
"смотрю фотки,все аткие смешные )))",[0],twitter
очень не хватает вас((слезы наворачиваются когда вспоминаеш как нам было весело((,[1],twitter
Как не странно - австралийцев .,[2],lj
"не знаю пивасик,не знаю :)_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x000D_
так обходиться жизнь :D_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x000D_
я сейчас пойду в место где я счастлив : D_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x000D_
и не был уже 2 недели)",[0],twitter
Калифорнийский трафик меня пугает .,[3],lj
Удивительный день !,[0],lj
И вот еще в сентябре я побаивалась садиться за руль .,[3],lj
"ничто не радовало за неделю так ,как эта находка.Учитесь радоваться мелочам)))",[0],twitter
"к сожалению ""навсегда"" длилось не так долго :(",[1],twitter
"И тут увидел картину , которая меня сильно удивила .",[2],lj
"на одну пару, зачет по праву, а я не готова.. боюсь боюсь(((((",[1 3],twitter
libre.fm не хочет принимать скробблы :( 68 штук,[1],twitter
"Забавное, не похожее ни на что другое место с умопомрачительными латте и завтраками целый день!))",[0],twitter
Жизнерадостный Данечка ;( Не хватае…,[1],twitter
"— люблю, но насить не могу к сожалению(((",[1],twitter
"Все, что вы хотели знать о жирафах, но боялись спросить) Да, спят они именно так)",[0],twitter
"Как хочется кому-то уткнуться в плечо, высказаться и поплакать?",[1],twitter
"С Днем Рождения) Добра, счастья,денег и всего побольше",[0],twitter
"Кто говорит, что PHP ужасен, никогда не видел XML+XSLT :-(",[1],twitter
"Начинается паника , судорожно ищешь телефон , набираешь 112 и прислушиваешься к сердцу ... рука на телефоне .",[3],lj
"Всегда впадаю в смехоистерику, когда шинода рассказывает о своем олдскульном виде, ему не хочется это вспоминать, а мне смешно;-)",[0],twitter
Это была такая радость !,[0],lj
"К сожалению , усадьбу Орловых - Давыховых , которая тоже играла роль Баскервилль - Холла , из автобуса почти не видно , нужного ракурса не было совсем , а кусочек монастыря Святой Бригитты в районе Пирита увидели .",[1],lj
"Если Вы научитесь радоваться за кого-то другого, то кто-то обязательно искренне порадуется за Вас!!!",[0],twitter
Острова 2014 скорее всего не будет((((( вот это печаль так печаль...,[1],twitter
"«Саша Барон Коэн, ступай в школу, научись быть смешным.",[4],lenta
"Мы обижаемся, ссоримся и злимся лишь на тех, кем дорожим ;(",[1],twitter
из этой тюрьмы сделать не могу:( такие странные чувства.наверное это t и лекарства...,[1],twitter
Сегодня я стал свидетелем удивительного явления: температура воды была выше температуры воздуха.,[2],twitter
- удивлялся он .,[2],lj
"ахахахах, Новогодние праздничка сделают свое коварное дело:)",[0],twitter
"Ходили на Кэрри) капец!фильм очень понравился,но он такой странный!",[0],twitter
"Другие заявили, что политик — злобная женщина-гомофоб и должна отправиться под суд и в тюрьму.",[4],lenta
"«Габриэль Дэйлман похожа на потерянную сестру Кардашьян», — удивлялись пользователи.",[2],lenta
"детка,боюсь нас бы искали с собаками)ахахаз",[0],twitter
"везде, это полное кидалово ) мстить буду ск!)",[4],twitter
"как-то так,к сожалению :(",[1],twitter
Удивительных тебе снов!!!))))))))))))),[0],twitter
"Когда я была маленькая , я очень любила смотреть передачу "" Вокруг смеха "" .",[0],lj
"Это фото даже не эротично», — выразил недоумение другой комментатор.",[2],lenta
"Увидев их , я пришел в недоумение : как это бывшие иноками ради Христа оказываются теперь на левой стороне ?",[2],lj
"Мне пожелали удачи на сессичных,люблю гимназистов из МГГКИ)",[0],twitter
Просыпается злость .,[4],lj
"завтра сдавать долги, а потом к стомотологу еще :((( день ужасный будет :((",[1],twitter
"Я в восторге от самого себя , меня ничто не может переубедить .",[0],lj
"меня пугает тот факт, что рано или поздно я могу влюбится(",[3],twitter
"Как же надоедает,когда к тебе цепится человек с вопросами типа : ""Почему ты такая  злая и грустная"".",[4],twitter
Фотография модели в свитере французского бренда Vetements с надписью Unskinny («Нехудая») на спине вызвала недоумение пользователей.,[2],lenta
"Сходство просто поразительное, сэр.",[2],twitter
"самые молодцы, устала ужас))))",[0],twitter
"спасибо что читаешь :3 Я люблю тюленей, они забавные)",[0],twitter
"«Эта тема уже давно всеми изучена и обсуждена, поэтому удивляет, что Ксения Анатольевна [Собчак] только сейчас дошла до того, чтобы опять поднять эту тему.",[2],lenta
"Хотя , боюсь , засмеял бы меня ребенок и включил бы Терминатора … Мне интересно , что будут вспоминать сегодняшние подростки через тридцать лет … Какие они будут смотреть фильмы и с чем сравнивать ?",[2],lj
"Да я понял,я про- то,что ты им вместе быть не даешь,ахахах,коварная женщина)",[0],twitter
они очень-очень ужасны да :( а другую трилогию я даже не пыталась,[1],twitter
"Знаете, это удивительно, все эти рэперы, все его друзья-афроамериканцы, от Джесси Джексона до Эла Шарптона (лидеры движения в защиту прав темнокожих — прим. «Ленты.ру»).",[2],lenta
Дорсай и Эльфа тоже не будет((( я по ним так скучаю,[1],twitter
"Мальчик рассказал, что в наказание за разговор во время урока воспитательница заставила его выпить стакан кипятка.",[3],lenta
"Честно сказать , я этому рада .",[0],lj
"Сегодня разговаривала с Хильмой по телефону) 2 раза,ае) как же я соскучилась",[0],twitter
у меня реально странное ощущение) меня либо проверяют)) хоть и вряд ли.либо кадрят) и  я не знаю что хуже.мне не нравится ни один вариант...,[3],twitter
Ужас !!!,[3],lj
"Меня удивляет то, как люди зависимы от денег((( как я ненавижу это качество в людях - фуууууу(((",[2],twitter
"я так тупо боюсь никого больше не встретить( понимаю, что все это глупости...",[3],twitter
ты чего раздражительный такой?,[2],twitter
"Удивительно , но из четырех шедевров , которые находятся на этой площади , широко известна только колокольня - Пизанская башня .",[2],lj
"Охранник на него косится , я тоже недоумеваю .",[2],lj
"Всё , что рассказывал тогда Задорнов , было очень смешно .",[0],lj
Снова чудовища !,[3],lj
Автоматическая ассоциация :) Или вот сегодня с утра было смешно .,[0],lj
У Соловков своя странная и печальная судьба .,[1],lj
"Удивил товарищ из МЧС . Он так излагал непопулярные темы про ложные звонки , коллекторов и всякое другое из мира криминала , что слушалось это , как хороший детектив . Вот же дал Бог талант рассказывать .",[2],lj
"Ща я обожрусь в Макдаке:_( привет килограммы, я скучал((",[1],twitter
"Я боли не боюсь , скорее я больше такого наркоза боялась .",[3],lj
"не могу читать это без улыбки, уж извини)))",[0],twitter
Начало 2014 не очень радует :( #RIPLouisGrandma,[1],twitter
И я рыдал все детство с него.,[1],twitter
К фигуркам у меня жесточайшее отвращение после работы с ними.,[4],twitter
такое странное обновление...  засветился:D,[0 2],twitter
Что это за чудовищный обмен веществ который позволяет ему за 6 - 8 месяцев набрать 30 кг веса ?,[2],lj
"бедный,как так то :с я буду скучать О///// все будет хорошо :с :********** я буду молиться,хотя я атеист :с :****",[1],twitter
"Меня очень удивило то , что очень многие европейцы в холод не носят шапки и при минусовой температуре могут вполне себе счастливо сидеть на улице возле кафе и неспешно потягивать чай или кофе .",[2],lj
ааааааая сейчас вспомнила баттл с Беном и Юкеем ))))  странно чет),[0 2],twitter
"Впрочем , в упомянутом приказе ФАС № 1780 / 17 есть ещё пара , мягко выражаясь , странных положения , которые касаются не тарифной политики , а других аспектов , но о них я напишу отдельно .",[2],lj
погода просто ужас((( не понятно что падает то ли дождь то ли снег ((( #Ужас,[1],twitter
Около 20 человек пострадали в результате крушения самолета недалеко от города Претория в Южно-Африканской республике.,[1],lenta
"вот тебе красивого грустного Жана , чтоб ты не расстраивалась)",[0],twitter
Котик коварный..Нужно его наказать),[0],twitter
"Сегодня какой-то нехороший день у меня :-( Телефон наушники не опознает, у блога как-то умудрился шаблон сломать, да еще",[1],twitter
"2 месяца пожила там, и из за суровой погоды, почти и не увидела красоту всего города ..!",[1],twitter
"Организация отмечала, что в ближайшие пару лет глобальных потрясений ожидать не стоит, однако после 2019 года ситуация может оказаться весьма тревожной.",[3],lenta
Очень скучаю за твоими работами :(,[1],twitter
"Популяция свиней в Восточной Африке снижается угрожающими темпами: несмотря на то, что представители вида редко попадаются людям, за ними активно охотятся ради их мяса.",[3],lenta
"ой мы может и злые, но это капец как смешно :D а глядя на ее реакцию - ущербно)))) держись, детка, это жизнь)",[0],twitter
Backbone или ember - это странное сравнение :-/,[2],twitter
"Я ОООООООЧЕНЬ СИЛЬНО БОЮСЬ СДАВАТЬ ГИА МНЕ ПЗДЦ КАК СТРАШНО... Я БОЛЬШЕ ВСЕГО БОЮСЬ ЗА МАТЕМАТИКУ,ЧЕМ ЗА РУССКИЙ(",[3],twitter
"Но удивились мы , когда он сказал , что тоже едет в Марсель !",[2],lj
"Ну, еб Расставания всегда мне тяжело давались( Бляхи, я буду скучать по 2013.",[1],twitter
!а я напьюсь с горя((,[1],twitter
"я попиздил патихардит ухахах хз во сколько вернусь,надеюсь в час)_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x000D_
всем удачного времяпровождения:3",[0],twitter
"Завтра для меня сложный день, я так боюсь олимпиаду :(",[3],twitter
"Спасибо Насте,она мне пожелала такой удачи,что она мне пригодилась)",[0],twitter
Правда вот с организацией обратного процесса тревожила неизвестностью .,[3],lj
"Сидим с Семой, погода жуткая(",[1],twitter
Потому что ( скажу вам по секрету ) выйти за объект своей нежной страсти и восхищения у меня никак не выходит ... а я уже давно прилагаю усилия .,[1],lj
"Мы с Риткой посмеялись , конечно .",[0],lj
"но...Дмитрий же не выжил :D И Лжедмитрий, как ни странно, тоже :D",[0],twitter
"завтра просто ужасный день, музыка,хор,ненавижу) но я очень его жду)",[0],twitter
"я бы тебя обнял сильнее , но боюсь раздавить .. =) Люблю тебя )",[0],twitter
"Она выразила недоумение, почему тема с проверками вызывает такой ажиотаж.",[2],lenta
"А первый удивляется "" Что вы говорите ?",[2],lj
"Наша паранойя - паранойя бегунов на длинные дистанции - заставляет нас бояться , что мышцы превратятся в холодец , и что мы напрасно растеряем все месяцы упорных тренировок .",[3],lj
"ооочень тяжело учиться, особенно химичка топит:((",[1],twitter
Но что ещё удивительнее : Таиланд оказался первой ( !!! ),[2],lj
"Жестокая погода, еле домой добралась.",[1],twitter
"И ещё больше рада тому , что по сравнению с "" первым блином "" это получилось гораздо лучше !",[0],lj
"я уже совсем не помню, мне было лет шесть когда мне пробили, теперь я боюсь:D",[3],twitter
А еще удивило большое количество придорожных крестов с ленточками на въезде в населенные пункты .,[2],lj
"я и их и так боялась, а теперь после увиденного совсем при их виде буду плакать, как ребенок =(",[1 3],twitter
"Здесь я переключаюсь , собираюсь с мыслями и начинаю : надо шутить , травить байки и отвечать на каверзные вопросы Юры про рецепт , улыбаться ... а параллельно руки все делают сами !",[0],lj
"мои мальчики, любимые ""полтавские демоны""..так соскучилась... ;-(",[1],twitter
"в комнате страха что -то зазвенело , и мы с визгами от туда АААААААААААААААААААААААА ААААААААААААААААААААААААААА :DDD",[0],twitter
Все куплено...#голос гавно....Волчков конечно не такой ужасный как Гарипова и даже оч хороший..но Наргиз((походу это такой ход телевидения..,[4],twitter
"Во время очередного посещения туалета он обнаружил, что из него выходит что-то странное.",[2],lenta
"Но меня удивляет ее такая консервативность в еде , это ж каждый день с утра до ночи про разную еду смотреть , слушать и читать , а довольствоваться отварной картошкой с котлетой , например .",[2],lj
"проверили зрение опять, она ужасное, простоо( и закапали глаза хренью, и я до завтра ничео не вижу всё плывёт, пздц",[1],twitter
"Поссорилась с подругой...!Люди радуйтесь,что у вас есть друзья,которые помогут в трудную минуту=(",[1],twitter
"Каждый раз , когда смотришь на эти иероглифы , кажется удивительным , что для кого-то – это вполне себе осмысленный текст : На верхних уровнях храма многие изображения богов уничтожены .",[2],lj
я просто боюсь что-нибудь пафосное и скучное предложить(,[3],twitter
"Очень быстро , приятно глазу , в целом довольно продумано ( особенно область уведомлений по сравнений с самсунговским ужасом ) .",[0],lj
"Очень непривычно видеть в церкви табличку "" рассчитано на 329 персон "" Во-вторых удивила музыка , звучашая по радио и в кафе : в основном крутят песни 60 - х - 80 - х и только на английском языке .",[2],lj
После трёх недель скитаний по столовым и изнурительному голоду я обрёл счастье... Мама приехала домой)),[0],twitter
Что за ***** [странная вещь] сейчас произошла?“» — рассказала Стил.,[2],lenta
Я посмотрела и меня такой смех пробил !,[0],lj
"И снова эта грустная музыка, когда в Отбросах кого-нибудь  хоронят.",[1],twitter
"Поэтому заткните свои грязные рты , перестаньте лить крокодильи слёзы и получайте удовольствие от кошмара , в который погрузился Крым под ваши радостные ослиные вопли !",[4],lj
"«Я убеждена, что женщины, которых Вайнштейн терроризировал, преисполнены благодарности за то, что ты поссал себе на руку вместо обличения его изнасилований.",[4],lenta
((( #печаль #грусть #жестокость #вк #,[1],twitter
"сегодня был ужасный день, очень много не приятных для меня новостей, и ещё в подвале застряли, это полный пиздец(",[1],twitter
"Народ кипятком писает , но мы решили , что в Перу и так хватает погружения в древнюю цивилизацию : горячая вода не везде , по утрам встаешь с петухами , а они на тебя орут , представляете ?",[2],lj
#Воспоминания2013Годасамое ужасное воспоминание: Джонас распались ;(,[1],twitter
"Челябинские велосипедисты на столько суровы, что никогда не переключаются с передачи 3/8:-D",[0],twitter
"Поход к окулисту оказался удачен, ибо зрение сильнее не упало, и не очень, ибо зрение все же -5.",[0],twitter
Это ли не радость :) Вот такой сарафанчик вышел : Фотографирование оказалось чуть ли не самым сложным этапом .,[0],lj
"Учитывая , что это уже раз четвёртый за последний час - смешно ) Ну а чего , наелась арбузика - получай ) А в воскресенье умиляла нас с Лёшкой на прогулке .",[0],lj
удивительно :(,[1],twitter
Соскучились жутко .,[1],lj
"«Блин, это странно, но мне нравится вся эта движуха», — отметил один из зрителей.",[0],lenta
"«Честно говоря, это было действительно странно.",[2],lenta
"Странно, на тест драйве даже не знаю никого из каменска о_О 31 школа и 15 удивляет.",[2],twitter
в понедельник первый экзамен а я прочитала всего один параграф))) я даже не удивляюсь это же я))),[0],twitter
"С Днём Рождения, заинька  :))) Будь здорова и счастлива всегда:***",[0],twitter
А еще я всё это фоткала на свой планшик и теперь пребываю в крайней печали тк лишаюсь возможности выложить такие произведения искусства(,[1],twitter
